0.9403,-1.82936,0.695773,0.640409,0.000238,0.020441,-0.767762,0.069553,-0.382404,0.213831,0.005662,0.483644,-0.28201,-0.123475,0.245144,0.093328,-0.145586,0.451057,-0.395775,-0.091008,0.055572,1.736773,0.15376,-0.576355,-0.022958,-1.532653,-0.412343,-0.64448
0.940191,-1.829539,0.695721,0.640294,0.000381,0.020303,-0.767861,0.069652,-0.382574,0.213684,0.005768,0.484967,-0.282811,-0.123586,0.245768,0.092768,-0.145337,0.45262,-0.396893,-0.09099,0.055504,1.737202,0.153582,-0.575958,-0.022141,-1.533756,-0.412544,-0.644327
0.940086,-1.829727,0.695667,0.640205,0.000482,0.020153,-0.76794,0.069621,-0.382505,0.213639,0.006095,0.486303,-0.283668,-0.123742,0.246265,0.092241,-0.145123,0.454221,-0.398041,-0.090944,0.055143,1.737615,0.1537,-0.575694,-0.021637,-1.534393,-0.413026,-0.644097
0.940002,-1.829925,0.695605,0.640145,0.000527,0.020022,-0.767993,0.069528,-0.382313,0.213728,0.00649,0.487671,-0.284621,-0.123925,0.246603,0.091793,-0.145009,0.455858,-0.399226,-0.09086,0.054375,1.738018,0.154129,-0.575682,-0.020925,-1.534857,-0.413301,-0.643901
0.939925,-1.830129,0.69554,0.640136,0.000531,0.019895,-0.768003,0.069293,-0.382087,0.21395,0.00703,0.489146,-0.285672,-0.124115,0.246783,0.091403,-0.144971,0.457489,-0.400433,-0.090746,0.053294,1.738302,0.154677,-0.575859,-0.020515,-1.534943,-0.413903,-0.643651
0.939856,-1.830331,0.695472,0.640179,0.000505,0.019775,-0.767971,0.068777,-0.381805,0.214289,0.007617,0.490727,-0.286808,-0.124369,0.246838,0.091104,-0.144907,0.459059,-0.40161,-0.090617,0.052608,1.73863,0.154646,-0.575997,-0.020125,-1.534856,-0.414552,-0.64314
0.939792,-1.830538,0.695404,0.640273,0.000475,0.019654,-0.767896,0.068152,-0.381488,0.214605,0.008071,0.492309,-0.287967,-0.124685,0.246831,0.090806,-0.144867,0.460569,-0.402763,-0.090468,0.052604,1.739067,0.153783,-0.575858,-0.019643,-1.534765,-0.415137,-0.642486
0.939745,-1.830749,0.695336,0.640401,0.000449,0.019537,-0.767792,0.067651,-0.381299,0.214855,0.00853,0.493912,-0.289126,-0.124952,0.246799,0.090433,-0.144919,0.462052,-0.403925,-0.090271,0.052698,1.739319,0.152796,-0.575447,-0.019039,-1.534711,-0.41561,-0.641825
0.939712,-1.830969,0.695272,0.640562,0.000441,0.019424,-0.767661,0.067217,-0.381218,0.215006,0.008933,0.495509,-0.29026,-0.125165,0.246749,0.089981,-0.145029,0.463504,-0.405096,-0.090024,0.052806,1.739323,0.15186,-0.575048,-0.018258,-1.534752,-0.415908,-0.641178
0.939676,-1.831192,0.695213,0.640744,0.000462,0.019302,-0.767512,0.066832,-0.3812,0.215025,0.009227,0.497045,-0.291331,-0.12532,0.246692,0.089459,-0.145122,0.464902,-0.406268,-0.089753,0.052995,1.739089,0.151007,-0.574917,-0.017229,-1.535092,-0.415945,-0.640628
