0.484441,-0.130148,0.075785,0.028986,0.682673,-0.026987,0.72965,0,-0.154,0.0231,-0.0845,0,0,0,0.154,0.0231,-0.0845,0,0,0,0.272,0,0,-0.312,0.272,0,0,-0.312
0.484254,-0.13012,0.075785,0.028905,0.682587,-0.026841,0.729739,-0.000398,-0.156455,0.024921,-0.082237,0.002477,-0.000352,-0.001663,0.156352,0.021377,-0.084715,0.001904,-0.00078,0.002052,0.272671,0.004984,-0.011284,-0.315725,0.276168,-0.006492,0.005495,-0.320076
0.484066,-0.130093,0.075785,0.028824,0.682502,-0.026694,0.729828,-0.000795,-0.15891,0.026743,-0.079973,0.004954,-0.000705,-0.003325,0.158704,0.019654,-0.08493,0.003809,-0.001561,0.004104,0.273343,0.009968,-0.022569,-0.31945,0.280336,-0.012984,0.010991,-0.328153
0.483879,-0.130065,0.075785,0.028742,0.682416,-0.026548,0.729916,-0.001193,-0.161365,0.028564,-0.07771,0.007431,-0.001057,-0.004988,0.161056,0.017931,-0.085145,0.005713,-0.002341,0.006156,0.274014,0.014953,-0.033853,-0.323175,0.284504,-0.019476,0.016486,-0.336229
0.483691,-0.130038,0.075785,0.028661,0.68233,-0.026401,0.730005,-0.00159,-0.163819,0.030386,-0.075446,0.009908,-0.00141,-0.00665,0.163408,0.016208,-0.08536,0.007617,-0.003121,0.008208,0.274685,0.019937,-0.045137,-0.326899,0.288672,-0.025967,0.021981,-0.344305
0.483504,-0.13001,0.075785,0.02858,0.682245,-0.026255,0.730093,-0.001988,-0.166274,0.032207,-0.073183,0.012385,-0.001762,-0.008313,0.165759,0.014485,-0.085575,0.009521,-0.003902,0.01026,0.275356,0.024921,-0.056421,-0.330624,0.29284,-0.032459,0.027476,-0.352382
0.483316,-0.129983,0.075785,0.028499,0.682159,-0.026108,0.730182,-0.002385,-0.168729,0.034028,-0.07092,0.014862,-0.002115,-0.009976,0.168111,0.012762,-0.08579,0.011426,-0.004682,0.012312,0.276028,0.029905,-0.067706,-0.334349,0.297008,-0.038951,0.032972,-0.360458
0.483129,-0.129955,0.075785,0.028417,0.682073,-0.025962,0.73027,-0.002783,-0.171184,0.03585,-0.068656,0.017339,-0.002467,-0.011638,0.170463,0.011039,-0.086005,0.01333,-0.005462,0.014364,0.276699,0.03489,-0.07899,-0.338074,0.301176,-0.045443,0.038467,-0.368534
0.482942,-0.129928,0.075785,0.028336,0.681987,-0.025816,0.730359,-0.003181,-0.173639,0.037671,-0.066393,0.019816,-0.00282,-0.013301,0.172815,0.009316,-0.08622,0.015234,-0.006243,0.016416,0.27737,0.039874,-0.090274,-0.341799,0.305344,-0.051935,0.043962,-0.376611
0.482754,-0.1299,0.075785,0.028255,0.681902,-0.025669,0.730447,-0.003578,-0.176094,0.039492,-0.064129,0.022293,-0.003172,-0.014963,0.175167,0.007593,-0.086434,0.017138,-0.007023,0.018468,0.278041,0.044858,-0.101559,-0.345524,0.309513,-0.058427,0.049457,-0.384687
0.482567,-0.129872,0.075785,0.028173,0.681816,-0.025523,0.730535,-0.003976,-0.178549,0.041314,-0.061866,0.02477,-0.003525,-0.016626,0.177519,0.00587,-0.086649,0.019043,-0.007803,0.020519,0.278713,0.049842,-0.112843,-0.349249,0.313681,-0.064919,0.054953,-0.392763
0.482379,-0.129845,0.075785,0.028092,0.68173,-0.025376,0.730624,-0.004373,-0.181003,0.043135,-0.059603,0.027247,-0.003877,-0.018288,0.179871,0.004147,-0.086864,0.020947,-0.008584,0.022571,0.279384,0.054827,-0.124127,-0.352973,0.317849,-0.071411,0.060448,-0.400839
0.482192,-0.129817,0.075784,0.028011,0.681644,-0.02523,0.730712,-0.004771,-0.183458,0.044957,-0.057339,0.029724,-0.00423,-0.019951,0.182223,0.002424,-0.087079,0.022851,-0.009364,0.024623,0.280055,0.059811,-0.135412,-0.356698,0.322017,-0.077902,0.065943,-0.408916
0.482004,-0.12979,0.075784,0.02793,0.681558,-0.025083,0.7308,-0.005168,-0.185913,0.046778,-0.055076,0.032201,-0.004582,-0.021614,0.184575,0.0007,-0.087294,0.024756,-0.010144,0.026675,0.280726,0.064795,-0.146696,-0.360423,0.326185,-0.084394,0.071439,-0.416992
0.481817,-0.129762,0.075784,0.027848,0.681472,-0.024937,0.730889,-0.005566,-0.188368,0.048599,-0.052812,0.034678,-0.004935,-0.023276,0.186927,-0.001023,-0.087509,0.02666,-0.010925,0.028727,0.281398,0.069779,-0.15798,-0.364148,0.330353,-0.090886,0.076934,-0.425068
0.481629,-0.129735,0.075784,0.027767,0.681386,-0.02479,0.730977,-0.005963,-0.190823,0.050421,-0.050549,0.037155,-0.005287,-0.024939,0.189278,-0.002746,-0.087724,0.028564,-0.011705,0.030779,0.282069,0.074764,-0.169264,-0.367873,0.334521,-0.097378,0.082429,-0.433145
0.481442,-0.129707,0.075784,0.027686,0.6813,-0.024644,0.731065,-0.006361,-0.193278,0.052242,-0.048286,0.039632,-0.005639,-0.026601,0.19163,-0.004469,-0.087939,0.030468,-0.012485,0.032831,0.28274,0.079748,-0.180549,-0.371598,0.338689,-0.10387,0.087924,-0.441221
0.481255,-0.12968,0.075784,0.027604,0.681214,-0.024497,0.731153,-0.006759,-0.195733,0.054064,-0.046022,0.042108,-0.005992,-0.028264,0.193982,-0.006192,-0.088154,0.032373,-0.013265,0.034883,0.283411,0.084732,-0.191833,-0.375323,0.342857,-0.110362,0.09342,-0.449297
0.481067,-0.129652,0.075784,0.027523,0.681128,-0.024351,0.731241,-0.007156,-0.198187,0.055885,-0.043759,0.044585,-0.006344,-0.029927,0.196334,-0.007915,-0.088369,0.034277,-0.014046,0.036935,0.284083,0.089716,-0.203117,-0.379047,0.347025,-0.116854,0.098915,-0.457374
0.48088,-0.129624,0.075784,0.027442,0.681042,-0.024204,0.73133,-0.007554,-0.200642,0.057706,-0.041496,0.047062,-0.006697,-0.031589,0.198686,-0.009638,-0.088584,0.036181,-0.014826,0.038987,0.284754,0.094701,-0.214402,-0.382772,0.351193,-0.123346,0.10441,-0.46545
0.480692,-0.129597,0.075784,0.027361,0.680956,-0.024058,0.731418,-0.007951,-0.203097,0.059528,-0.039232,0.049539,-0.007049,-0.033252,0.201038,-0.011361,-0.088799,0.038085,-0.015606,0.041039,0.285425,0.099685,-0.225686,-0.386497,0.355361,-0.129837,0.109905,-0.473526
0.480505,-0.129569,0.075784,0.027279,0.68087,-0.023912,0.731506,-0.008349,-0.205552,0.061349,-0.036969,0.052016,-0.007402,-0.034914,0.20339,-0.013084,-0.089014,0.03999,-0.016387,0.043091,0.286096,0.104669,-0.23697,-0.390222,0.359529,-0.136329,0.115401,-0.481603
0.480317,-0.129542,0.075784,0.027198,0.680784,-0.023765,0.731594,-0.008746,-0.208007,0.06317,-0.034705,0.054493,-0.007754,-0.036577,0.205742,-0.014807,-0.089229,0.041894,-0.017167,0.045143,0.286768,0.109653,-0.248254,-0.393947,0.363697,-0.142821,0.120896,-0.489679
0.48013,-0.129514,0.075784,0.027117,0.680697,-0.023619,0.731682,-0.009144,-0.210462,0.064992,-0.032442,0.05697,-0.008107,-0.038239,0.208094,-0.01653,-0.089444,0.043798,-0.017947,0.047195,0.287439,0.114638,-0.259539,-0.397672,0.367865,-0.149313,0.126391,-0.497755
0.479943,-0.129487,0.075784,0.027035,0.680611,-0.023472,0.73177,-0.009542,-0.212917,0.066813,-0.030179,0.059447,-0.008459,-0.039902,0.210446,-0.018253,-0.089659,0.045703,-0.018728,0.049247,0.28811,0.119622,-0.270823,-0.401397,0.372033,-0.155805,0.131887,-0.505832
0.479755,-0.129459,0.075784,0.026954,0.680525,-0.023326,0.731857,-0.009939,-0.215371,0.068635,-0.027915,0.061924,-0.008812,-0.041565,0.212797,-0.019976,-0.089873,0.047607,-0.019508,0.051299,0.288781,0.124606,-0.282107,-0.405121,0.376202,-0.162297,0.137382,-0.513908
0.479568,-0.129432,0.075784,0.026873,0.680438,-0.023179,0.731945,-0.010337,-0.217826,0.070456,-0.025652,0.064401,-0.009164,-0.043227,0.215149,-0.021699,-0.090088,0.049511,-0.020288,0.053351,0.289453,0.12959,-0.293392,-0.408846,0.38037,-0.168789,0.142877,-0.521984
0.47938,-0.129404,0.075784,0.026791,0.680352,-0.023033,0.732033,-0.010734,-0.220281,0.072277,-0.023388,0.066878,-0.009517,-0.04489,0.217501,-0.023422,-0.090303,0.051415,-0.021069,0.055403,0.290124,0.134575,-0.304676,-0.412571,0.384538,-0.17528,0.148372,-0.53006
0.479193,-0.129376,0.075784,0.02671,0.680266,-0.022886,0.732121,-0.011132,-0.222736,0.074099,-0.021125,0.069355,-0.009869,-0.046552,0.219853,-0.025145,-0.090518,0.05332,-0.021849,0.057455,0.290795,0.139559,-0.31596,-0.416296,0.388706,-0.181772,0.153868,-0.538137
0.479005,-0.129349,0.075784,0.026629,0.680179,-0.02274,0.732209,-0.011529,-0.225191,0.07592,-0.018862,0.071832,-0.010221,-0.048215,0.222205,-0.026868,-0.090733,0.055224,-0.022629,0.059507,0.291466,0.144543,-0.327244,-0.420021,0.392874,-0.188264,0.159363,-0.546213
0.478818,-0.129321,0.075784,0.026548,0.680093,-0.022593,0.732297,-0.011927,-0.227646,0.077742,-0.016598,0.074309,-0.010574,-0.049878,0.224557,-0.028591,-0.090948,0.057128,-0.02341,0.061558,0.292138,0.149527,-0.338529,-0.423746,0.397042,-0.194756,0.164858,-0.554289
0.478631,-0.129294,0.075784,0.026466,0.680007,-0.022447,0.732384,-0.012325,-0.230101,0.079563,-0.014335,0.076786,-0.010926,-0.05154,0.226909,-0.030314,-0.091163,0.059032,-0.02419,0.06361,0.292809,0.154512,-0.349813,-0.427471,0.40121,-0.201248,0.170353,-0.562366
0.478443,-0.129266,0.075783,0.026385,0.67992,-0.0223,0.732472,-0.012722,-0.232555,0.081384,-0.012071,0.079263,-0.011279,-0.053203,0.229261,-0.032037,-0.091378,0.060937,-0.02497,0.065662,0.29348,0.159496,-0.361097,-0.431195,0.405378,-0.20774,0.175849,-0.570442
